Name,Priority,Soft Modules (categories),Status,➰ Actions (CRUD),👤 Actors
I must be able to upload Burp export file,Medium,Burp export file import (Soft%20Modules%20(categories)/Burp%20export%20file%20import%202b3c5dcbed458053a312dc5407485ce3.html),Not started,CREATE (Actions%20(CRUD)/CREATE%202b8c5dcbed45809f879fc56e812e058e.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
System must be able to uniq all requests in an export file based on multiple comparators which can be set on or off for a specific import (setting a comparator on means that it is choosed if it matches the type of host specified at host creation),,Burp export file import (Soft%20Modules%20(categories)/Burp%20export%20file%20import%202b3c5dcbed458053a312dc5407485ce3.html),Not started,CREATE (Actions%20(CRUD)/CREATE%202b8c5dcbed45809f879fc56e812e058e.html),SYSTEM (Actors/SYSTEM%202b8c5dcbed458042acb0eff48ebd680a.html)
I must be able to create a comparator,,Comparator Management (Soft%20Modules%20(categories)/Comparator%20Management%202b6c5dcbed458017b79bc6bee9f747bc.html),Not started,CREATE (Actions%20(CRUD)/CREATE%202b8c5dcbed45809f879fc56e812e058e.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to edit a comparator,,Comparator Management (Soft%20Modules%20(categories)/Comparator%20Management%202b6c5dcbed458017b79bc6bee9f747bc.html),Not started,UPDATE (Actions%20(CRUD)/UPDATE%202b8c5dcbed458031ba0eec76f1c8535a.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to delete a comparator,,Comparator Management (Soft%20Modules%20(categories)/Comparator%20Management%202b6c5dcbed458017b79bc6bee9f747bc.html),Not started,DELETE (Actions%20(CRUD)/DELETE%202b8c5dcbed4580c88788c1d87472c430.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to add a program,,Program Management (Soft%20Modules%20(categories)/Program%20Management%202b3c5dcbed45800aa92dc7c28b30384e.html),Not started,CREATE (Actions%20(CRUD)/CREATE%202b8c5dcbed45809f879fc56e812e058e.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to edit a program,,Program Management (Soft%20Modules%20(categories)/Program%20Management%202b3c5dcbed45800aa92dc7c28b30384e.html),Not started,UPDATE (Actions%20(CRUD)/UPDATE%202b8c5dcbed458031ba0eec76f1c8535a.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to delete a program,,Program Management (Soft%20Modules%20(categories)/Program%20Management%202b3c5dcbed45800aa92dc7c28b30384e.html),Not started,DELETE (Actions%20(CRUD)/DELETE%202b8c5dcbed4580c88788c1d87472c430.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to set out of scope vulnerabilities for a specific program,,Program Management (Soft%20Modules%20(categories)/Program%20Management%202b3c5dcbed45800aa92dc7c28b30384e.html),Not started,CREATE (Actions%20(CRUD)/CREATE%202b8c5dcbed45809f879fc56e812e058e.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to add a vulnerability,,Vulnerability Management (Soft%20Modules%20(categories)/Vulnerability%20Management%202b3c5dcbed4580c18270c0d863cd3636.html),Not started,CREATE (Actions%20(CRUD)/CREATE%202b8c5dcbed45809f879fc56e812e058e.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to edit a vulnerability,,Vulnerability Management (Soft%20Modules%20(categories)/Vulnerability%20Management%202b3c5dcbed4580c18270c0d863cd3636.html),Not started,UPDATE (Actions%20(CRUD)/UPDATE%202b8c5dcbed458031ba0eec76f1c8535a.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to delete a vulnerability,,Vulnerability Management (Soft%20Modules%20(categories)/Vulnerability%20Management%202b3c5dcbed4580c18270c0d863cd3636.html),Not started,DELETE (Actions%20(CRUD)/DELETE%202b8c5dcbed4580c88788c1d87472c430.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to add a host under a specific program,,Host Management (Soft%20Modules%20(categories)/Host%20Management%202b3c5dcbed45809daadedd8e5f6d8d39.html),Not started,CREATE (Actions%20(CRUD)/CREATE%202b8c5dcbed45809f879fc56e812e058e.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to specify whether the host is a wildcard or literal,,Host Management (Soft%20Modules%20(categories)/Host%20Management%202b3c5dcbed45809daadedd8e5f6d8d39.html),Not started,CREATE (Actions%20(CRUD)/CREATE%202b8c5dcbed45809f879fc56e812e058e.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to edit a host,,Host Management (Soft%20Modules%20(categories)/Host%20Management%202b3c5dcbed45809daadedd8e5f6d8d39.html),Not started,UPDATE (Actions%20(CRUD)/UPDATE%202b8c5dcbed458031ba0eec76f1c8535a.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to delete a host,,Host Management (Soft%20Modules%20(categories)/Host%20Management%202b3c5dcbed45809daadedd8e5f6d8d39.html),Not started,DELETE (Actions%20(CRUD)/DELETE%202b8c5dcbed4580c88788c1d87472c430.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to specify whether the host is in-scope or out-of-scope,,Host Management (Soft%20Modules%20(categories)/Host%20Management%202b3c5dcbed45809daadedd8e5f6d8d39.html),Not started,CREATE (Actions%20(CRUD)/CREATE%202b8c5dcbed45809f879fc56e812e058e.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to set out of scope vulnerabilities for a specific host,,Host Management (Soft%20Modules%20(categories)/Host%20Management%202b3c5dcbed45809daadedd8e5f6d8d39.html),Not started,CREATE (Actions%20(CRUD)/CREATE%202b8c5dcbed45809f879fc56e812e058e.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to add a request under a specific host,,Request Management (Soft%20Modules%20(categories)/Request%20Management%202b3c5dcbed45801b8cbaf5a5c38f1b92.html),Not started,CREATE (Actions%20(CRUD)/CREATE%202b8c5dcbed45809f879fc56e812e058e.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to edit a request,,Request Management (Soft%20Modules%20(categories)/Request%20Management%202b3c5dcbed45801b8cbaf5a5c38f1b92.html),Not started,UPDATE (Actions%20(CRUD)/UPDATE%202b8c5dcbed458031ba0eec76f1c8535a.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
System must be able to unique added requests based on specified comparators,,Request Management (Soft%20Modules%20(categories)/Request%20Management%202b3c5dcbed45801b8cbaf5a5c38f1b92.html),Not started,CREATE (Actions%20(CRUD)/CREATE%202b8c5dcbed45809f879fc56e812e058e.html),SYSTEM (Actors/SYSTEM%202b8c5dcbed458042acb0eff48ebd680a.html)
I must be able to specify comparators when adding a request,,Request Management (Soft%20Modules%20(categories)/Request%20Management%202b3c5dcbed45801b8cbaf5a5c38f1b92.html),Not started,CREATE (Actions%20(CRUD)/CREATE%202b8c5dcbed45809f879fc56e812e058e.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to specify comparators when editing a request,,Request Management (Soft%20Modules%20(categories)/Request%20Management%202b3c5dcbed45801b8cbaf5a5c38f1b92.html),Not started,UPDATE (Actions%20(CRUD)/UPDATE%202b8c5dcbed458031ba0eec76f1c8535a.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
"I must be able to specify whether the comparator is [global,program-specific,host-specific] when adding a comparator",,Comparator Management (Soft%20Modules%20(categories)/Comparator%20Management%202b6c5dcbed458017b79bc6bee9f747bc.html),Not started,CREATE (Actions%20(CRUD)/CREATE%202b8c5dcbed45809f879fc56e812e058e.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to create an authentication object under a specific host,,Target Authentication (Soft%20Modules%20(categories)/Target%20Authentication%202b3c5dcbed458088aebec5b5b5283e76.html),Not started,CREATE (Actions%20(CRUD)/CREATE%202b8c5dcbed45809f879fc56e812e058e.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to specify whether an authentication object is static or dynamic,,Target Authentication (Soft%20Modules%20(categories)/Target%20Authentication%202b3c5dcbed458088aebec5b5b5283e76.html),Not started,CREATE (Actions%20(CRUD)/CREATE%202b8c5dcbed45809f879fc56e812e058e.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to specify headers and cookies for static authentication objects,,Target Authentication (Soft%20Modules%20(categories)/Target%20Authentication%202b3c5dcbed458088aebec5b5b5283e76.html),Not started,CREATE (Actions%20(CRUD)/CREATE%202b8c5dcbed45809f879fc56e812e058e.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to specify custom code for dynamic authentication objects,,Target Authentication (Soft%20Modules%20(categories)/Target%20Authentication%202b3c5dcbed458088aebec5b5b5283e76.html),Not started,CREATE (Actions%20(CRUD)/CREATE%202b8c5dcbed45809f879fc56e812e058e.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
